title,posted_ago,length,views
Full Body Deep Stretch Yoga Flow with Yoga Teacher Heather Barb!,2 months,1500,9879
30 Minute Full Body Strength and Conditioning Workout 🔥Burn 370 Calories!* 🔥Sydney Cummings,2 months,2040,27949
40 Minute Butt and Thighs Bootcamp Workout 🔥Burn 415 Calories!* 🔥Sydney Cummings,2 months,2760,28100
30 Minute Cardio and Abs Tabata Turn Up Workout 🔥Burn 395 Calories!* 🔥Sydney Cummings,2 months,2040,35391
40 Minute Tone and Shred Workout 🔥Burn 385 Calories!* 🔥Sydney Cummings,2 months,2640,28264
30 Minute Fat Burning Cardio and Abs Workout 🔥Burn 385 Calories!* 🔥Sydney Cummings,2 months,2040,32808
40 Minute Full Body HIIT Workout 🔥Burn 500 Calories!* 🔥Sydney Cummings,2 months,2700,45586
Full Body Yoga Flow with Heart and Hip Openers with guest Sydney Duarte!,2 months,3600,10087
40 Minute Strength and Conditioning Workout 🔥Burn 505 Calories!* 🔥Sydney Cummings,2 months,2640,29289
30 Minute Butt and Thighs Bootcamp Workout 🔥Burn 360 Calories!* 🔥Sydney Cummings,2 months,2040,35293
40 Minute Cardio and Abs Tabata Turn Up Workout 🔥Burn 460 Calories!* 🔥Sydney Cummings,2 months,2700,31507
30 Minute Upper Body Tone and Shred Workout 🔥Burn 280 Calories!* 🔥Sydney Cummings,2 months,2040,29081
"YouTube 100K Silver Play Button Award Unboxing, YouTube Studios Q&amp;A, NYC Meet and Greet VLOG!",2 months,1620,8337
40 Minute Fat Burning Cardio with Abs Workout 🔥Burn 460 Calories!* 🔥Sydney Cummings,2 months,2580,28117
30 Minute Full Body HIIT Workout 🔥Burn 360 Calories! 🔥Sydney Cummings,2 months,2160,39568
30 Minute Full Body Vinyasa Flow Yoga with guest Yoga Teacher Heather Barb! | Sydney Cummings,3 months,2040,11911
30 Minute Strength and Conditioning Workout! 🔥Burn 375 Calories!* 🔥Sydney Cummings,3 months,2040,32596
40 Minute Butt and Thighs Boot Camp Workout 🔥Burn 450 Calories!* 🔥Sydney Cummings,3 months,2580,29733
30 Minute Cardio and Abs Tabata Turn Up Workout 🔥Burn 400 Calories!* 🔥Sydney Cummings,3 months,1920,38317
40 Minute Upper Body Tone and Shred Workout 🔥Burn 385 Calories!* 🔥Sydney Cummings,3 months,2640,31002
30 Minute Fat Burning Cardio and Abs Workout 🔥Burn 325 Calories!* 🔥Sydney Cummings,3 months,1980,31959
40 Minute FULL BODY HIIT Workout 🔥Burn 475 Calories!* 🔥 Sydney Cummings,3 months,2580,50187
20 Minute YOGA Hip Opener and Lower Back Stretch with Sydney Cummings and guest Sydney Duarte!,3 months,1380,16910
40 Minute Strength and Conditioning Workout 🔥Burn 490 Calories!* 🔥Sydney Cummings,3 months,2580,32170
30 Minute Butt and Thighs Boot Camp Workout 🔥Burn 390 Calories!* 🔥Sydney Cummings,3 months,2160,33928
40 Minute CARDIO AND ABS TABATA Workout!🔥Burn 500 Calories!* 🔥 Sydney Cummings,3 months,2640,47911
30 Minute Upper Body Tone &amp; Shred Workout 🔥Burn 325 Calories!* 🔥Sydney Cummings,3 months,1980,39015
40 Minute FAT BURNING CARDIO AND ABS WORKOUT!🔥Burn 480 Calories!* 🔥Sydney Cummings,3 months,2580,50276
10 Minute HIIT CARDIO WORKOUT! NO EQUIPMENT NEEDED! | Sydney Cummings,3 months,720,18763
30 Minute FULL BODY HIT STRENGTH WORKOUT! 🔥Burn 400 Calories!* 🔥Sydney Cummings,3 months,2040,35016
20 Minute Stretch for Stiff Joints | Sydney Cummings,3 months,1380,8719
30 Minute Upper Body and Abs Strength Workout 🔥Burn 300 Calories!* 🔥Sydney Cummings,3 months,1980,19912
50 Minute HIIT LEGS AND CARDIO WORKOUT 🔥Burn 500 Calories!* 🔥Sydney Cummings,3 months,3180,22212
10 Minute Arms Workout! | Sydney Cummings,3 months,720,14952
40 Minute Shoulders and Abs Workout 🔥Burn 450 Calories!* 🔥Sydney Cummings,3 months,2580,16002
40 Minute Glutes and Tabata Cardio Workout 🔥Burn 475 Calories!* 🔥Sydney Cummings,3 months,2700,39420
60 Minute Arms and Abs Workout 🔥Burn 625 Calories!* 🔥Sydney Cummings,3 months,3840,23062
30 Minute Full Body HIIT Strength Workout 🔥Burn 380 Calories!* 🔥Sydney Cummings,3 months,1980,32396
20 Minute Stretch for Sore Muscles | Sydney Cummings,3 months,1320,7804
10 Minute TABATA CARDIO TURN UP Workout! NO EQUIPMENT NEEDED! | Sydney Cummings,3 months,720,17382
40 Minute Upper Body Strength and Abs Workout! 🔥Burn 380 Calories!* 🔥Sydney Cummings,3 months,2580,21058
40 Minute HIIT Legs and Cardio Workout 🔥Burn 530 Calories!* 🔥Sydney Cummings,3 months,2700,27641
40 Minute Shoulders and Abs Burnout Workout 🔥Burn 350 Calories!* 🔥Sydney Cummings,3 months,2520,16661
60 Minute Glutes and Cardio Workout 🔥Burn 650 Calories!* 🔥Sydney Cummings,3 months,3720,26605
40 Minute Arms and Abs Workout 🔥Burn 475 Calories!* 🔥Sydney Cummings,3 months,2580,29444
10 Minute HIIT CARDIO WORKOUT! Sydney Cummings,3 months,720,20286
50 Minute FULL BODY HIIT Strength Workout 🔥Burn 615 Calories!* 🔥Sydney Cummings,3 months,3180,35088
20 Minute Deep Stretch for Tight Bodies | Sydney Cummings,3 months,1380,10990
60 Minute Upper Body and Abs Strength Workout 🔥Burn 550 Calories!* 🔥Sydney Cummings,3 months,3900,19543
30 Minute HIIT Legs and Cardio Workout! 🔥Burn 400 Calories!* 🔥Sydney Cummings,4 months,2160,30260
50 Minute Shoulders and Abs Workout 🔥Burn 510 Calories!* 🔥Sydney Cummings,4 months,3240,16972
10 Minute Legs and Glutes Burnout Workout! | Sydney Cummings,4 months,780,15426
50 Minute Tabata Cardio and Glutes Workout  🔥Burn 610 Calories!* 🔥 Sydney Cummings,4 months,3240,32001
60 Minute Arms and Abs Workout! 🔥Burn 550 Calories!* 🔥Sydney Cummings,4 months,3840,19776
